Title,Note,URL,Tags,Comment
Son del North,,https://www.google.com/maps/place/Son+del+North/data=!4m2!3m1!1s0x89c2593e36c86edb:0x775245cb6394b959,,
Via Carota,,https://www.google.com/maps/place/Via+Carota/data=!4m2!3m1!1s0x89c259937f4eb1af:0xe49ad5dc628370bb,,
L'Artusi,,https://www.google.com/maps/place/L'Artusi/data=!4m2!3m1!1s0x89c25994a2220ac7:0xb5043ebd59fcdcb6,,
JG Melon,,https://www.google.com/maps/place/JG+Melon/data=!4m2!3m1!1s0x89c258c003ad1b39:0x636a5a8ae5c286ea,,
Red Hook Tavern,,https://www.google.com/maps/place/Red+Hook+Tavern/data=!4m2!3m1!1s0x89c25b9495de42bf:0xdfa3fb7f5aea4bad,,
Lord’s,,https://www.google.com/maps/place/Lord%E2%80%99s/data=!4m2!3m1!1s0x89c25937b61177f9:0x88a963157619c831,,
Penny,,https://www.google.com/maps/place/Penny/data=!4m2!3m1!1s0x89c259fed4aa0623:0xcc49c3a759b86198,,
Dame,,https://www.google.com/maps/place/Dame/data=!4m2!3m1!1s0x89c2597ab9117853:0x5873e7824d72138a,,
Caffè Panna,,https://www.google.com/maps/place/Caff%C3%A8+Panna/data=!4m2!3m1!1s0x89c259c3202e4ca5:0xcda02870d8b15706,,
Gramercy Tavern,,https://www.google.com/maps/place/Gramercy+Tavern/data=!4m2!3m1!1s0x89c259a1820824bd:0x2b79dcdc251b8415,,
Cosme,,https://www.google.com/maps/place/Cosme/data=!4m2!3m1!1s0x89c259a16418e84f:0x3532988b2d0befec,,
Her Name is Han,,https://www.google.com/maps/place/Her+Name+is+Han/data=!4m2!3m1!1s0x89c259a86c481529:0xa094152f17b20f06,,
The Museum of Modern Art,,https://www.google.com/maps/place/The+Museum+of+Modern+Art/data=!4m2!3m1!1s0x89c258f97bdb102b:0xea9f8fc0b3ffff55,,
Madison Fare,,https://www.google.com/maps/place/Madison+Fare/data=!4m2!3m1!1s0x89c2593878a4d78b:0xf29e133268a75da3,,
